,Label
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Tell me a joke.,5
Can you tell me a joke?,5
Can you share a joke with me?,5
Do you have a joke to tell me?,5
Could you tell me a joke to brighten my day?,5
"I'd love to hear a joke, do you have one to tell me?",5
Can you tell me a joke to make me laugh?,5
Do you have a joke to share?,5
Would you like to tell me a joke?,5
Please tell me a joke.,5
Can you tell me a funny joke?,5
Share a funny story with me.,5
Give me something to laugh at.,5
Tell me a chuckle-worthy tale.,5
Let's hear a comedic quip.,5
Give me a reason to smile.,5
Tell me a witty one-liner.,5
Let's hear a pun or two.,5
Tell me a clever joke.,5
Give me something to giggle about.,5
Tell me a light-hearted tale.,5
Let's hear a comical story.,5
Give me a chuckle.,5
Tell me a joke that will make me laugh.,5
Share a witty remark.,5
Give me a good laugh.,5
Let's hear a funny quip.,5
Tell me a rib-tickling joke.,5
Share a comical story.,5
Give me something to snicker about.,5
Tell me a jest.,5
Let's hear a humorous comment.,5
Give me a laughable joke,5
Tell me a joke that will bring a smile to my face.,5
Share a playful comment.,5
Give me something to grin about.,5
Let's hear a comedic one-liner.,5
Tell me a jolly joke.,5
Share a light-hearted story.,5
Give me something to laugh about.,5
Tell me a joke that will make me giggle.,5
Let's hear a witty quip.,5
Tell me a joke that will make me belly laugh.,5
Share a humorous story.,5
Give me something to smirk about.,5
Let's hear a comical comment.,5
Tell me a joke that will make me chuckle.,5
Share a silly comment.,5
Give me something to chortle about.,5
Tell me a joke that will make me snicker.,5
Let's hear a playful quip.,5
Give me a good giggle.,5
Tell me a joke that will make me laugh out loud.,5
Share a comical one-liner.,5
Give me something to laugh heartily about.,5
Let's hear a witty tale.,5
Tell me a joke that will make me burst out laughing.,5
Share a humorous comment.,5
Give me something to guffaw about.,5
Tell me a joke that will make me cackle.,5
Give me a good chuckle.,5
Tell me a joke that will make me titter.,5
Share a silly story.,5
Give me something to snort about.,5
Let's hear a playful comment.,5
Tell me a joke that will make me roar with laughter.,5
Share a comical tale.,5
Give me something to burst out laughing about.,5
Tell me a joke that will make me howl with laughter.,5
Let's hear a witty remark.,5
Give me a good belly laugh.,5
Tell me a joke that will make me chuckle uncontrollably.,5
Share a humorous anecdote.,5
Give me something to roll on the floor laughing about.,5
Let's hear a comical quip.,5
Share a comedic one-liner.,5
Give me something to split my sides laughing about.,5
Tell me a joke that will make me double over in laughter.,5
Let's hear a light-hearted quip.,5
Tell me a joke that will make me giggle uncontrollably.,5
Share a silly comment that will make me laugh.,5
Give me something to snicker about for days.,5
Let's hear a comical story that will make me laugh.,5
Tell me a joke that will have me in stitches.,5
Share a witty remark that will make me laugh.,5
Give me something to chuckle about.,5
Tell me a joke that will make me burst out laughing uncontrollably.,5
Let's hear a humorous tale that will make me laugh.,5
Give me a good belly laugh moment.,5
Tell me a joke that will make me smile from ear to ear.,5
Share a comedic story that will make me laugh.,5
Give me something to laugh about for hours.,5
Let's hear a comical comment that will make me chuckle.,5
Tell me a joke that will make me laugh until I cry.,5
Share a silly quip that will make me laugh.,5
Give me something to giggle about for days.,5
Tell me a joke that will make me laugh until my stomach hurts.,5
Let's hear a witty one-liner that will make me laugh.,5
Give me a good laugh-out-loud moment.,5
Tell me a joke that will make me laugh until I can't breathe.,5
Share a humorous story that will make me laugh.,5
Give me something to laugh about for weeks.,5
Let's hear a comical tale that will make me chuckle.,5
Tell me a joke that will make me laugh until I can't stop.,5
Can you share a humorous quip with me?,5
Can you make me laugh with a joke?,5
Do you know a good joke that you could tell me?,5
Can you tell me something funny?,5
Can you crack a joke for me?,5
Can you tell me a punchline?,5
Do you have a funny story to share?,5
Can you entertain me with a joke?,5
Can you give me something to chuckle about?,5
Can you let me in on a joke?,5
Can you give me a good laugh with a joke?,5
Can you tell me a rib-tickler?,5
Can you make me smile with a joke?,5
Can you tell me a witticism?,5
Do you have a comedy routine you could share with me?,5
Can you give me a jest?,5
Can you tell me a one-liner?,5
Can you share a funny anecdote with me?,5
Can you give me a giggle with a joke?,5
Can you tell me a jape?,5
Can you make me chuckle with a joke?,5
Can you tell me a jest?,5
Can you give me a chuckle with a joke?,5
Can you tell me a funny tale?,5
Can you share a bit of humor with me?,5
Can you tell me a joke to brighten my day?,5
Can you give me a smile with a joke?,5
Can you tell me a clever remark?,5
Can you give me a laugh with a joke?,5
Can you tell me a clever saying?,5